year_x_year_stream	organizers
2014_1.1	Ильёй Денисовым
2014_1.1	Анастасией Сурковой
2014_1.2	Ираклием Глунчадзе
2014_1.2	Анастасией Сурковой
2014_1.3	Ираклием Глунчадзе
2014_1.3	Анастасией Савченко
2014_2.1	Ираклием Глунчадзе
2014_2.1	Анастасией Сурковой
2014_2.2	Глунчадзе Ираклием
2014_2.3	Митькиной Марией
2014_3.1	Василием Борисовым
2014_3.1	Ираклием Глунчадзе
2014_3.2	Василием Борисовым
2014_3.2	Татьяной Тюриной
2014_3.3	Ираклием Глунчадзе
2014_3.4	Марией Митькиной
2014_4.1	Анастасией Сурковой
2014_4.1	Татьяной Тюриной
2014_4.2	Еленой Дорман
2014_4.2	Татьяной Тюриной
2014_4.3	Алексеем Матвеевым
2014_4.4	Ильёй Денисовым
2014_5.1	Марией Митькиной
2014_5.2	Алексеем Матвеевым
2014_5.3	Марией Дяченко
2014_m1	Алексеем Матвеевым
2014_m2	Ираклием Глунчадзе
